Date,Close/Last,Volume,Open,High,Low
07/09/2018,$136.38,229719,$136.03,$136.42,$134.84
07/06/2018,$135.36,239529,$135.16,$135.53,$134.29
07/05/2018,$135.94,284923,$135.92,$136.16,$134.58
07/03/2018,$133.94,219026,$134.57,$134.93,$133.87
07/02/2018,$135.15,326939,$132.78,$135.17,$132.66
06/29/2018,$135.01,398158,$135.61,$136.81,$134.72
06/28/2018,$135.05,551638,$131.87,$135.26,$131.67
06/27/2018,$135.18,356682,$137.80,$138.90,$135.18
06/26/2018,$137.13,421009,$136.87,$137.40,$136.22
06/25/2018,$136.90,393003,$137.98,$138.00,$135.50
06/22/2018,$139.48,731222,$141.61,$141.77,$138.34
06/21/2018,$140.90,368158,$141.55,$141.69,$140.00
06/20/2018,$143.21,325718,$144.48,$145.10,$143.01
06/19/2018,$145.45,424507,$145.35,$146.28,$144.755
06/18/2018,$147.81,311181,$146.45,$148.32,$146.2901
06/15/2018,$148.90,368180,$149.85,$149.85,$148.25
06/14/2018,$149.33,801450,$148.08,$149.58,$147.27
06/13/2018,$143.96,702260,$142.59,$145.07,$142.38
06/12/2018,$140.64,516873,$140.58,$140.90,$139.445
06/11/2018,$139.08,431256,$138.74,$139.69,$138.56
06/08/2018,$136.37,175475,$136.22,$136.57,$135.23
06/07/2018,$136.45,286116,$138.24,$138.90,$136.10
06/06/2018,$139.46,306467,$136.97,$139.54,$136.9215
06/05/2018,$136.49,434606,$135.84,$137.465,$135.39
06/04/2018,$132.25,267819,$132.61,$132.87,$131.915
06/01/2018,$132.90,287026,$133.66,$133.81,$131.44
05/31/2018,$131.35,266497,$130.38,$131.98,$129.565
05/30/2018,$130.25,407114,$129.62,$130.99,$128.81
05/29/2018,$127.02,836204,$127.81,$129.11,$125.95
05/25/2018,$131.19,212694,$131.13,$131.96,$129.89
05/24/2018,$131.44,181163,$130.54,$131.77,$130.34
05/23/2018,$131.31,229014,$130.68,$131.43,$130.11
05/22/2018,$132.46,179621,$133.91,$134.24,$132.36
05/21/2018,$134.07,250180,$134.50,$135.00,$133.47
05/18/2018,$132.53,211115,$133.16,$133.39,$132.31
05/17/2018,$133.73,176536,$133.55,$134.36,$133.36
